network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius
2.233.28.0/24,3173435,3175395,,0,0,20157,45.4667,9.2000,1
2.233.29.0/25,3173435,3175395,,0,0,20157,45.4667,9.2000,1
2.233.29.128/25,3173435,3175395,,0,0,20122,45.4643,9.1895,1
2.233.30.0/23,3173435,3175395,,0,0,20141,45.4643,9.1895,1
2.233.32.0/23,3173435,3175395,,0,0,20157,45.4667,9.2000,20
2.233.34.0/24,3173435,3175395,,0,0,20126,45.4643,9.1895,20
2.233.35.0/24,3171757,3175395,,0,0,20080,45.3667,8.9167,20
2.233.36.0/22,3173435,3175395,,0,0,20126,45.4643,9.1895,20
2.233.40.0/23,3171529,3175395,,0,0,26025,45.4027,9.5305,20
2.233.42.0/24,3173435,3175395,,0,0,20157,45.4667,9.2000,20
2.233.43.0/24,3173435,3175395,,0,0,20155,45.4643,9.1895,20
2.233.44.0/24,6535884,3175395,,0,0,20813,45.6102,9.1530,20
2.233.45.0/24,3173435,3175395,,0,0,20157,45.4667,9.2000,20
2.233.46.0/24,3165524,3175395,,0,0,10147,45.0500,7.6667,20
2.233.47.0/24,3166598,3175395,,0,0,20099,45.5333,9.2258,20
2.233.48.0/23,3173435,3175395,,0,0,20157,45.4667,9.2000,10
2.233.50.0/23,3172191,3175395,,0,0,20834,45.5888,9.1979,10
2.233.52.0/22,3172191,3175395,,0,0,20834,45.5888,9.1979,10
2.233.56.0/23,3171366,3175395,,0,0,27100,45.2062,9.1926,20
2.233.58.0/23,3176219,3175395,,0,0,16100,44.4167,8.9500,100
2.233.60.0/23,3173435,3175395,,0,0,20123,45.4643,9.1895,1
2.233.62.0/25,3173435,3175395,,0,0,20146,45.4643,9.1895,1
2.233.62.128/25,3173435,3175395,,0,0,20123,45.4643,9.1895,1
2.233.63.0/24,3173435,3175395,,0,0,20123,45.4643,9.1895,1
2.233.64.0/24,3174623,3175395,,0,0,23871,45.6664,9.3765,20
2.233.65.0/24,6534583,3175395,,0,0,27016,45.2357,9.2327,20
2.233.66.0/24,3170422,3175395,,0,0,20010,45.5333,8.9833,10
2.233.67.0/24,3182410,3175395,,0,0,20021,45.5272,9.1172,20
2.233.68.0/24,6534224,3175395,,0,0,20060,45.3954,9.3316,20
2.233.69.0/24,3178972,3175395,,0,0,20811,45.6177,9.1215,20
2.233.70.0/23,3167520,3175395,,0,0,00058,42.0343,11.8542,500
2.233.72.0/24,3173435,3175395,,0,0,20157,45.4667,9.2000,10
2.233.73.0/25,3173435,3175395,,0,0,20157,45.4667,9.2000,10
2.233.73.128/25,3173435,3175395,,0,0,20122,45.4643,9.1895,10
2.233.74.0/23,3173435,3175395,,0,0,20122,45.4643,9.1895,10
2.233.76.0/24,3173435,3175395,,0,0,20157,45.4667,9.2000,10
2.233.77.0/24,3175384,3175395,,0,0,10015,45.4672,7.8762,10
2.233.78.0/23,3173435,3175395,,0,0,20122,45.4643,9.1895,10
2.233.80.0/22,3173435,3175395,,0,0,20122,45.4643,9.1895,100
2.233.84.0/24,3178671,3175395,,0,0,20092,45.5582,9.2149,100
2.233.85.0/24,3176219,3175395,,0,0,16121,44.4264,8.9152,100
2.233.86.0/25,3176219,3175395,,0,0,16100,44.4167,8.9500,100
2.233.86.128/25,3176219,3175395,,0,0,16128,44.4264,8.9152,100
2.233.87.0/24,3176219,3175395,,0,0,16128,44.4264,8.9152,100
2.233.88.0/21,3176219,3175395,,0,0,16100,44.4167,8.9500,100
2.233.96.0/21,3176219,3175395,,0,0,16100,44.4167,8.9500,100
2.233.104.0/22,3173435,3175395,,0,0,20139,45.4643,9.1895,1
2.233.108.0/23,3173435,3175395,,0,0,20125,45.4833,9.2002,1
2.233.110.0/24,3182835,3175395,,0,0,20010,45.5034,8.9422,10
2.233.111.0/24,3165524,3175395,,0,0,10129,45.0705,7.6868,100
2.233.112.0/21,3181554,3175395,,0,0,25122,45.5356,10.2147,50
2.233.120.0/24,3167128,3175395,,0,0,25068,45.6500,10.2000,50
2.233.121.0/25,3164002,3175395,,0,0,25079,45.6483,10.4672,50
2.233.121.128/25,3181554,3175395,,0,0,25122,45.5356,10.2147,50
2.233.122.0/24,3164440,3175395,,0,0,46019,44.9943,10.5804,50
2.233.123.0/24,3182609,3175395,,0,0,37060,45.3667,10.9333,50
2.233.124.0/23,3163965,3175395,,0,0,46049,45.3167,10.6500,50
2.233.126.0/24,3179415,3175395,,0,0,46043,45.3902,10.4862,50
2.233.127.0/24,3176311,3175395,,0,0,25063,45.6914,10.1864,50
2.233.128.0/24,3164603,3175395,,0,0,30174,45.5034,12.2266,5
2.233.129.0/24,3182064,3175395,,0,0,31010,45.9075,12.4327,50
2.233.130.0/24,3172175,3175395,,0,0,30020,45.6617,12.5297,50
2.233.131.0/24,3168601,3175395,,0,0,30030,45.5219,12.1083,50
2.233.132.0/23,3181284,3175395,,0,0,31031,45.7816,11.9985,20
2.233.134.0/23,3173314,3175395,,0,0,31021,45.5650,12.2350,50
2.233.136.0/22,3173435,3175395,,0,0,20122,45.4643,9.1895,100
2.233.140.0/23,3172297,3175395,,0,0,20014,45.5534,8.9792,10
2.233.142.0/24,3180389,3175395,,0,0,20061,45.5498,9.3404,10
2.233.143.0/24,3173435,3175395,,0,0,20122,45.4643,9.1895,1
2.233.144.0/23,3181548,3175395,,0,0,20091,45.5379,9.1892,5
2.233.146.0/23,3173435,3175395,,0,0,20123,45.4643,9.1895,20
2.233.148.0/22,3166753,3175395,,0,0,20030,45.5756,9.1262,20
2.233.152.0/24,3173435,3175395,,0,0,20144,45.4643,9.1895,1
2.233.153.0/24,3173435,3175395,,0,0,20157,45.4667,9.2000,1
2.233.154.0/23,3173435,3175395,,0,0,20144,45.4643,9.1895,1
2.233.156.0/22,3166440,3175395,,0,0,21048,45.7149,8.8222,50
2.233.160.0/24,3165524,3175395,,0,0,10147,45.0500,7.6667,20
2.233.161.0/24,3173435,3175395,,0,0,20157,45.4667,9.2000,1
2.233.162.0/23,3173435,3175395,,0,0,20157,45.4667,9.2000,500
2.233.164.0/22,3178671,3175395,,0,0,20092,45.5582,9.2149,200
2.233.168.0/22,3173435,3175395,,0,0,20157,45.4667,9.2000,100
2.233.172.0/24,3176219,3175395,,0,0,16100,44.4167,8.9500,100
2.233.173.0/24,3173435,3175395,,0,0,20157,45.4667,9.2000,100
2.233.174.0/23,3173435,3175395,,0,0,20157,45.4667,9.2000,100
2.233.176.0/22,3165524,3175395,,0,0,10147,45.0500,7.6667,1
2.233.180.0/23,3173435,3175395,,0,0,20157,45.4667,9.2000,100
